"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
08/20/2018,,"Pending: CKCD AUTH 08/20 VIOC 040134 ",-82.42,2893.04,,
08/20/2018,,"Pending: AC-BANK OF AMERICA -ONLINE PMT ",-490,2975.46,,
08/19/2018,,"Pending: CKCD AUTH 08/19 SHELL Service ",-55.55,3465.46,,
08/17/2018,,"Daily Ledger Bal",,3521.01,,
08/17/2018,,"AC-LEASE OPERATIONS-ONLINE PMT",-530.72,3521.01,,
08/17/2018,,"POS DEBIT 08/17 OFFICE DEPOT 0 CLARKSVILLE IN",-50.79,4051.73,,
08/17/2018,,"AC-TOUCHTUNES MUSIC-JC 08.17.1",801.67,4102.52,,
08/16/2018,,"Daily Ledger Bal",,3300.85,,
08/16/2018,,"AC-BANK OF AMERICA -ONLINE PMT",-800,3300.85,,
08/16/2018,,"AC-CHASE CARD SERV -ONLINE PMT",-700,4100.85,,
08/16/2018,,"AC-INCREDIBLE TECH -ITSGAMES",-562.54,4800.85,,
08/16/2018,,"AC-ALLSTATE INS CO -INS PREM",-162.28,5363.39,,
08/16/2018,,"AC-INCREDIBLE TECH -ITSGAMES",-56.85,5525.67,,
08/16/2018,,"AC-TWC - SPECTRUM -ONLINE PMT",-50,5582.52,,
08/16/2018,,"CKCD DEBIT 08/15 IN DIAMOND BILLIARD PRO812-2887665 IN",-603.1,5632.52,,
08/16/2018,,"DEPOSIT",1207,6235.62,,
08/15/2018,,"Daily Ledger Bal",,5028.62,,
08/15/2018,,"AC-STORZ DISTRIBUTI-ONLINE PMT",-1362.27,5028.62,,
08/15/2018,,"AC-AMI ENTERTAINMEN-CASH C&D",-111.95,6390.89,,
08/15/2018,,"CKCD DEBIT 08/14 IN DIAMOND BILLIARD PRO812-2887665 IN",-250,6502.84,,
08/14/2018,,"Daily Ledger Bal",,6752.84,,
08/14/2018,2049,"Check",-1604,6752.84,,
08/14/2018,,"POS DEBIT 08/14 KROGER FUEL #8 NEW ALBANY IN",-42.69,8356.84,,
08/13/2018,,"Daily Ledger Bal",,8399.53,,
08/13/2018,,"POS DEBIT 08/11 KROGER FUEL #8 NEW ALBANY IN",-23.15,8399.53,,
08/13/2018,,"DEPOSIT",3178,8422.68,,
08/13/2018,,"DEPOSIT",2767.38,5244.68,,
08/13/2018,,"DEPOSIT",626,2477.30,,
08/09/2018,,"Daily Ledger Bal",,1851.3,,
08/09/2018,,"POS DEBIT 08/09 KROGER FUEL #8 NEW ALBANY IN",-42.93,1851.30,,
08/08/2018,,"Daily Ledger Bal",,1894.23,,
08/08/2018,,"AC-SHAFFER DIST. CO-ONLINE PMT",-1070,1894.23,,
08/08/2018,,"AC-SUZOHAPP AMERICA-ONLINE PMT",-228.68,2964.23,,
08/08/2018,,"CKCD DEBIT 08/06 170 NEWS AND TRIBUNE 812-2836636 IN",-16.99,3192.91,,
08/08/2018,,"DEPOSIT",338,3209.90,,
08/07/2018,,"Daily Ledger Bal",,2871.9,,
08/07/2018,,"AC-SUZOHAPP AMERICA-ONLINE PMT",-228.68,2871.90,,
08/06/2018,,"Daily Ledger Bal",,3100.58,,
08/03/2018,,"Daily Ledger Bal",,3100.58,,
08/03/2018,2047,"Check",-1604,3100.58,,
08/03/2018,,"AC-JEFFERSONVILLE -ONLINE PMT",-45.37,4704.58,,
08/03/2018,,"CKCD DEBIT 08/02 KROGER FUEL #8744 NEW ALBANY IN",-41.48,4749.95,,
08/02/2018,,"Daily Ledger Bal",,4791.43,,
08/02/2018,,"AC-Bill Pay -FEES",-5,4791.43,,
08/02/2018,,"DEPOSIT",2212,4796.43,,
08/01/2018,,"Daily Ledger Bal",,2584.43,,
08/01/2018,,"AC-NAVITAS CREDIT C-CASH CONC",-384.8,2584.43,,
08/01/2018,,"AC-TOUCHTUNES MUSIC-LS 07.31.1",222.91,2969.23,,
07/31/2018,,"Daily Ledger Bal",,2746.32,,
07/30/2018,,"Daily Ledger Bal",,2746.32,,
07/30/2018,,"AC-BANK OF AMERICA -ONLINE PMT",-490,2746.32,,
07/30/2018,,"CKCD DEBIT 07/29 UPSHOW UPSHOW.TV IL",-100,3236.32,,
07/27/2018,,"Daily Ledger Bal",,3336.32,,
07/27/2018,,"AC-DALLMAN SYSTEMS,-ONLINE PMT",-28,3336.32,,
07/27/2018,,"AC-VECTREN ENERGY D-ONLINE PMT",-18.19,3364.32,,
07/26/2018,,"Daily Ledger Bal",,3382.51,,
07/26/2018,,"AC-BANK OF AMERICA -ONLINE PMT",-800,3382.51,,
07/26/2018,,"DEPOSIT",2322,4182.51,,
07/25/2018,,"Daily Ledger Bal",,1860.51,,
07/25/2018,,"AC-DUKE ENERGY IN -ONLINE PMT",-139.75,1860.51,,
07/25/2018,,"AC-PAYPAL -ECHECK",-130.57,2000.26,,
07/25/2018,,"AC-DUKE ENERGY IN -ONLINE PMT",-129.52,2130.83,,
07/25/2018,,"AC-TWC - SPECTRUM -ONLINE PMT",-79.99,2260.35,,
07/25/2018,,"AC-IN AMER WATER -ONLINE PMT",-28.65,2340.34,,
07/24/2018,,"Daily Ledger Bal",,2368.99,,
07/24/2018,,"CKCD DEBIT 07/22 COMMUNITY WIRELESS LLC 812-1563701 IN",-40,2368.99,,
07/24/2018,,"CKCD DEBIT 07/23 KROGER FUEL #8744 NEW ALBANY IN",-36.76,2408.99,,
07/23/2018,,"Daily Ledger Bal",,2445.75,,
07/23/2018,,"AC-BANK OF AMERICA -ONLINE PMT",-490,2445.75,,
